"Group_name","IU_ID","IU_ID2","Coverage Group"
"1_2","18945","ETH18945","2"
"1_1","34260","NAM34260","1"
"2_2","18775","ETH18775","2"
"2_1","2174","AGO02174","1"
"3_2","7472","CMR07472","2"
"3_1","44325","SSD44325","1"
"4_1","34275","NAM34275","1"
"4_2","18571","ETH18571","2"
"5_2","54069","KEN54069","2"
"5_1","36449","NGA36449","1"
"6_2","40183","SEN40183","2"
"7_2","42257","SLE42257","2"
"7_1","53211","SDN53211","1"
"8_2","18884","ETH18884","2"
"8_1","50848","ZMB50848","1"
"9_2","3259","BEN03259","2"
"9_1","36586","NGA36586","1"
"10_2","54120","KEN54120","2"
"10_1","14001","COD14001","1"
"11_2","42263","SLE42263","2"
"11_1","10686","TCD10686","1"
"12_2","54056","KEN54056","2"
"12_1","44387","SSD44387","1"
"13_2","19099","ETH19099","2"
"13_1","13852","COD13852","1"
"14_2","54070","KEN54070","2"
"14_1","13963","COD13963","1"
"15_2","54253","KEN54253","2"
"16_2","6379","BDI06379","2"
"16_1","36912","NGA36912","1"
"17_2","52936","ZWE52936","2"
"17_1","36903","NGA36903","1"
"18_2","21554","GHA21554","2"
"18_1","15404","CIV15404","1"
"19_2","7429","CMR07429","2"
"19_1","15365","CIV15365","1"
"20_2","27879","MDG27879","2"
"20_1","14290","COD14290","1"
"21_1","20376","GAB20376","1"
"21_2","19052","ETH19052","2"
"22_1","14302","COD14302","1"
"22_2","18915","ETH18915","2"
"23_1","49802","UGA49802","1"
"24_1","49799","UGA49799","1"
"25_2","21427","GHA21427","2"
"26_2","42259","SLE42259","2"
"27_2","54254","KEN54254","2"
"28_1","36525","NGA36525","1"
"28_2","18633","ETH18633","2"
"29_1","33134","MOZ33134","1"
"29_2","21516","GHA21516","2"
"30_2","27873","MDG27873","2"
