"Group_name","IU_ID","IU_ID2"
"1","40185","SEN40185"
"1","40187","SEN40187"
"1","40190","SEN40190"
"1","40191","SEN40191"
"1","40192","SEN40192"
"1","40193","SEN40193"
"1","40194","SEN40194"
"1","40195","SEN40195"
"1","40196","SEN40196"
"1","40197","SEN40197"
"1","40200","SEN40200"
"1","40201","SEN40201"
"1","40202","SEN40202"
"1","40203","SEN40203"
"1","40205","SEN40205"
"1","40206","SEN40206"
"1","40209","SEN40209"
"1","40212","SEN40212"
"1","40214","SEN40214"
"1","40215","SEN40215"
"1","40216","SEN40216"
"1","40217","SEN40217"
"1","40218","SEN40218"
"1","40219","SEN40219"
"1","40220","SEN40220"
"1","40226","SEN40226"
"1","40227","SEN40227"
"1","40228","SEN40228"
"1","40229","SEN40229"
"1","40230","SEN40230"
"1","42253","SLE42253"
"1","42254","SLE42254"
"1","42255","SLE42255"
"1","42258","SLE42258"
"1","42260","SLE42260"
"1","42261","SLE42261"
"1","42265","SLE42265"
"1","42266","SLE42266"
"1","44319","SSD44319"
"1","44320","SSD44320"
"1","44323","SSD44323"
"1","44327","SSD44327"
"1","44331","SSD44331"
"1","44334","SSD44334"
"1","44335","SSD44335"
"1","44342","SSD44342"
"1","44343","SSD44343"
"1","44351","SSD44351"
"1","44352","SSD44352"
"1","44353","SSD44353"
"1","44357","SSD44357"
"1","44360","SSD44360"
"1","44365","SSD44365"
"1","44366","SSD44366"
"1","44371","SSD44371"
"1","44373","SSD44373"
"1","44374","SSD44374"
"1","44377","SSD44377"
"1","44378","SSD44378"
"1","44385","SSD44385"
"1","44386","SSD44386"
"1","44387","SSD44387"
"1","44389","SSD44389"
"1","44392","SSD44392"
"1","44396","SSD44396"
"1","44397","SSD44397"
"1","44399","SSD44399"
"1","44402","SSD44402"
"1","44403","SSD44403"
"1","10661","TCD10661"
"1","10663","TCD10663"
"1","10669","TCD10669"
"1","10671","TCD10671"
"1","10672","TCD10672"
"1","10673","TCD10673"
"1","10679","TCD10679"
"1","10682","TCD10682"
"1","10684","TCD10684"
"1","10685","TCD10685"
"1","10687","TCD10687"
"1","10688","TCD10688"
"1","10689","TCD10689"
"1","10691","TCD10691"
"1","10692","TCD10692"
"1","10695","TCD10695"
"1","10697","TCD10697"
"1","10698","TCD10698"
"1","10699","TCD10699"
"1","10701","TCD10701"
"1","10702","TCD10702"
"1","10703","TCD10703"
"1","10705","TCD10705"
"1","10707","TCD10707"
"1","10708","TCD10708"
"1","10712","TCD10712"
"1","10713","TCD10713"
"1","10714","TCD10714"
"1","10716","TCD10716"
"1","10717","TCD10717"
"1","10718","TCD10718"
"1","10719","TCD10719"
"1","10720","TCD10720"
"1","10721","TCD10721"
"1","10722","TCD10722"
"1","10723","TCD10723"
"1","10724","TCD10724"
"1","10725","TCD10725"
"1","10726","TCD10726"
"1","10727","TCD10727"
"1","10729","TCD10729"
"1","10734","TCD10734"
"1","10737","TCD10737"
"1","10739","TCD10739"
"1","10742","TCD10742"
"1","10743","TCD10743"
"1","10745","TCD10745"
"1","10746","TCD10746"
"1","10747","TCD10747"
"1","10748","TCD10748"
"1","10750","TCD10750"
"1","10751","TCD10751"
"1","10752","TCD10752"
"1","10753","TCD10753"
"1","10755","TCD10755"
"1","10756","TCD10756"
"1","10757","TCD10757"
"1","10758","TCD10758"
"1","10759","TCD10759"
"1","10761","TCD10761"
"1","10762","TCD10762"
"1","10764","TCD10764"
"1","10765","TCD10765"
"1","10766","TCD10766"
"1","10767","TCD10767"
"1","10768","TCD10768"
"1","10770","TCD10770"
"1","10771","TCD10771"
"1","10773","TCD10773"
"1","10774","TCD10774"
"1","10776","TCD10776"
"1","10777","TCD10777"
"1","10778","TCD10778"
"1","10779","TCD10779"
"1","10786","TCD10786"
"1","10788","TCD10788"
"1","10789","TCD10789"
